"","fraction","units","seg_id","interpreted_qualifiers","site_id","quantitation_limit","data_provider","sample_id","date","value","validator_qualifiers","depth","info_type","parameter"
"127","total","mg/l","1306-0044","","13-PKIL-0.4",2,"AE","13-PKIL-0.4_20180906",2018-09-06,100,"A",NA,NA,"alkalinity, total (as caco3)"
"128","total","mg/l","1306-0062","","13-DWAR-2.0",2,"AE","13-DWAR-2.0_20190917",2019-09-17,135,"A",NA,NA,"alkalinity, total (as caco3)"
"129","total","mg/l","1306-0059","","13-LGUN-6.0",2,"AE","13-LGUN-6.0_20180711",2018-07-11,53.2,"A",NA,NA,"alkalinity, total (as caco3)"
"130","total","mg/l","1306-0078","","13-POCH-1.8",2,"AE","13-POCH-1.8_20181003",2018-10-03,88.4,"A",NA,NA,"alkalinity, total (as caco3)"
"131","total","mg/l","1306-0072","","13-MASO-0.2",2,"AE","13-MASO-0.2_20180711",2018-07-11,149,"A",NA,NA,"alkalinity, total (as caco3)"
"132","total","mg/l","1306-0045","","13-WALK-19.0",2,"AE","13-WALK-19.0_20180710",2018-07-10,144,"A",NA,NA,"alkalinity, total (as caco3)"
"133","total","mg/l","1306-0038","","13-WALK-26.9",2,"AE","13-WALK-26.9_20180710",2018-07-10,162,"A",NA,NA,"alkalinity, total (as caco3)"
"134","total","mg/l","1306-0042","","13-WKLEI-0.6",2,"AE","13-WKLEI-0.6_20170802",2017-08-02,87.2,"0",NA,NA,"alkalinity, total (as caco3)"
"135","total","mg/l","1306-0068","","13-TINW-0.5",2,"AE","13-TINW-0.5_20191015",2019-10-15,131,"A",NA,NA,"alkalinity, total (as caco3)"
"136","total","mg/l","1306-0072","","13-MASO-0.2",2,"AE","13-MASO-0.2_20180906",2018-09-06,145,"A",NA,NA,"alkalinity, total (as caco3)"
"137","total","mg/l","1306-0025","","13-QKER-0.9",2,"AE","13-QKER-0.9_20170919",2017-09-19,182,"0",NA,NA,"alkalinity, total (as caco3)"
"138","total","mg/l","1306-0074","","13-MONH-0.4",2,"AE","13-MONH-0.4_20181004",2018-10-04,94.8,"A",NA,NA,"alkalinity, total (as caco3)"
"139","total","mg/l","1306-0074","","13-MONH-0.4",2,"AE","13-MONH-0.4_20170906",2017-09-06,126,"0",NA,NA,"alkalinity, total (as caco3)"
"140","total","mg/l","1306-0027","","13-WALK-2.1",2,"AE","13-WALK-2.1_20170907",2017-09-07,112,"0",NA,NA,"alkalinity, total (as caco3)"
"141","total","mg/l","1306-0027","","13-WALK-2.1",2,"AE","13-WALK-2.1_20170802",2017-08-02,112,"0",NA,NA,"alkalinity, total (as caco3)"
"142","total","mg/l","1306-0038","","13-WALK-44.4",2,"AE","13-WALK-44.4_20191015",2019-10-15,107,"A",NA,NA,"alkalinity, total (as caco3)"
"143","total","mg/l","1306-0044","","13-PKIL-0.4",2,"AE","13-PKIL-0.4_20190917",2019-09-17,110,"A",NA,NA,"alkalinity, total (as caco3)"
"144","total","mg/l","1306-0078","","13-POCH-1.8",2,"AE","13-POCH-1.8_20180814",2018-08-14,108,"A",NA,NA,"alkalinity, total (as caco3)"
"145","total","mg/l","1306-0038","","13-WALK-44.4",2,"AE","13-WALK-44.4_20180906",2018-09-06,150,"A",NA,NA,"alkalinity, total (as caco3)"
"146","total","mg/l","1306-0045","","13-WALK-19.0",2,"AE","13-WALK-19.0_20190723",2019-07-23,92.4,"A",NA,NA,"alkalinity, total (as caco3)"
"147","total","mg/l","1306-0059","","13-LGUN-6.0",2,"AE","13-LGUN-6.0_20180905",2018-09-05,46.8,"A",NA,NA,"alkalinity, total (as caco3)"
"148","total","mg/l","1306-0061","","13-WCHEE-0.6",2,"AE","13-WCHEE-0.6_20180906",2018-09-06,115,"A",NA,NA,"alkalinity, total (as caco3)"
"149","total","mg/l","1306-0017","","13-WALK-46.6",2,"AE","13-WALK-46.6_20170801",2017-08-01,151,"0",NA,NA,"alkalinity, total (as caco3)"
"150","total","mg/l","1306-0017","","13-WALK-60.1",2,"AE","13-WALK-60.1_20180711",2018-07-11,146,"A",NA,NA,"alkalinity, total (as caco3)"
"151","total","mg/l","1306-0025","","13-QKER-0.9",2,"AE","13-QKER-0.9_20180724",2018-07-24,119,"A",NA,NA,"alkalinity, total (as caco3)"
"152","total","mg/l","1306-0038","","13-WALK-22.8",2,"AE","13-WALK-22.8_20170802",2017-08-02,126,"0",NA,NA,"alkalinity, total (as caco3)"
"153","total","mg/l","1306-0074","","13-MONH-0.4",2,"AE","13-MONH-0.4_20170719",2017-07-19,139,"0",NA,NA,"alkalinity, total (as caco3)"
"154","total","mg/l","1306-0074","","13-MONH-0.4",2,"AE","13-MONH-0.4_20170801",2017-08-01,147,"0",NA,NA,"alkalinity, total (as caco3)"
"155","total","mg/l","1306-0078","","13-POCH-1.8",2,"AE","13-POCH-1.8_20190918",2019-09-18,196,"A",NA,NA,"alkalinity, total (as caco3)"
"156","total","mg/l","1306-0061","","13-WCHEE-0.6",2,"AE","13-WCHEE-0.6_20180711",2018-07-11,94.8,"A",NA,NA,"alkalinity, total (as caco3)"
"157","total","mg/l","1306-0045","","13-WALK-19.0",2,"AE","13-WALK-19.0_20171012",2017-10-12,141,"0",NA,NA,"alkalinity, total (as caco3)"
"158","total","mg/l","1306-0078","","13-POCH-1.8",2,"AE","13-POCH-1.8_20190724",2019-07-24,105,"A",NA,NA,"alkalinity, total (as caco3)"
"159","total","mg/l","1306-0068","","13-TINW-0.5",2,"AE","13-TINW-0.5_20180906",2018-09-06,107,"A",NA,NA,"alkalinity, total (as caco3)"
"160","total","mg/l","1306-0047","","13-GUNK-37.7",2,"AE","13-GUNK-37.7_20180711",2018-07-11,181,"A",NA,NA,"alkalinity, total (as caco3)"
"161","total","mg/l","1306-0017","","13-WALK-60.1",2,"AE","13-WALK-60.1_20190625",2019-06-25,122,"A",NA,NA,"alkalinity, total (as caco3)"
"162","total","mg/l","1306-0072","","13-MASO-0.2",2,"AE","13-MASO-0.2_20180725",2018-07-25,59.2,"A",NA,NA,"alkalinity, total (as caco3)"
"163","total","mg/l","1306-0038","","13-WALK-29.9",2,"AE","13-WALK-29.9_20170907",2017-09-07,138,"0",NA,NA,"alkalinity, total (as caco3)"
"164","total","mg/l","1306-0038","","13-WALK-29.9",2,"AE","13-WALK-29.9_20170720",2017-07-20,120,"0",NA,NA,"alkalinity, total (as caco3)"
